Values, R:100000, C:1e-05, E:5
Time,Vc
0.593,2.23667
0.594,2.23943
0.595,2.24219
0.596,2.24494
0.597,2.2477
0.598,2.25045
0.599,2.2532
0.6,2.25594
0.601,2.25868
0.602,2.26142
0.603,2.26416
0.604,2.2669
0.605,2.26963
0.606,2.27236
0.607,2.27508
0.608,2.27781
0.609,2.28053
0.61,2.28325
0.611,2.28596
0.612,2.28867
0.613,2.29138
0.614,2.29409
0.615,2.2968
0.616,2.2995
0.617,2.3022
0.618,2.30489
0.619,2.30759
0.62,2.31028
0.621,2.31297
0.622,2.31565
0.623,2.31833
0.624,2.32102
0.625,2.32369
0.626,2.32637
0.627,2.32904
0.628,2.33171
0.629,2.33438
0.63,2.33704
0.631,2.3397
0.632,2.34236
0.633,2.34502
0.634,2.34767
0.635,2.35032
0.636,2.35297
0.637,2.35562
0.638,2.35826
0.639,2.3609
0.64,2.36354
0.641,2.36617
0.642,2.36881
0.643,2.37144
0.644,2.37406
0.645,2.37669
0.646,2.37931
0.647,2.38193
0.648,2.38455
0.649,2.38716
0.65,2.38977
0.651,2.39238
0.652,2.39499
0.653,2.39759
0.654,2.40019
0.655,2.40279
0.656,2.40539
0.657,2.40798
0.658,2.41057
0.659,2.41316
0.66,2.41574
0.661,2.41833
0.662,2.42091
0.663,2.42348
0.664,2.42606
0.665,2.42863
0.666,2.4312
0.667,2.43377
0.668,2.43633
0.669,2.4389
0.67,2.44146
0.671,2.44401
0.672,2.44657
0.673,2.44912
0.674,2.45167
0.675,2.45422
0.676,2.45676
0.677,2.4593
0.678,2.46184
0.679,2.46438
0.68,2.46692
0.681,2.46945
0.682,2.47198
0.683,2.4745
0.684,2.47703
0.685,2.47955
0.686,2.48207
0.687,2.48458
0.688,2.4871
0.689,2.48961
0.69,2.49212
0.691,2.49463
0.692,2.49713
0.693,2.49963
0.694,2.50213
0.695,2.50463
0.696,2.50712
0.697,2.50961
0.698,2.5121
0.699,2.51459
0.7,2.51707
0.701,2.51956
0.702,2.52203
0.703,2.52451
0.704,2.52699
0.705,2.52946
0.706,2.53193
0.707,2.53439
0.708,2.53686
0.709,2.53932
0.71,2.54178
0.711,2.54424
0.712,2.54669
0.713,2.54914
0.714,2.55159
0.715,2.55404
0.716,2.55648
0.717,2.55893
0.718,2.56137
0.719,2.5638
0.72,2.56624
0.721,2.56867
0.722,2.5711
0.723,2.57353
0.724,2.57595
0.725,2.57838
0.726,2.5808
0.727,2.58322
0.728,2.58563
0.729,2.58804
0.73,2.59046
0.731,2.59286
0.732,2.59527
0.733,2.59767
0.734,2.60007
0.735,2.60247
0.736,2.60487
0.737,2.60726
0.738,2.60965
0.739,2.61204
0.74,2.61443
0.741,2.61681
0.742,2.6192
0.743,2.62158
0.744,2.62395
0.745,2.62633
0.746,2.6287
0.747,2.63107
0.748,2.63344
0.749,2.6358
0.75,2.63817
0.751,2.64053
0.752,2.64289
0.753,2.64524
0.754,2.6476
0.755,2.64995
0.756,2.6523
0.757,2.65464
0.758,2.65699
0.759,2.65933
0.76,2.66167
0.761,2.66401
0.762,2.66634
0.763,2.66867
0.764,2.671
0.765,2.67333
0.766,2.67566
0.767,2.67798
0.768,2.6803
0.769,2.68262
0.77,2.68493
0.771,2.68725
0.772,2.68956
0.773,2.69187
0.774,2.69418
0.775,2.69648
0.776,2.69878
0.777,2.70108
0.778,2.70338
0.779,2.70568
0.78,2.70797
0.781,2.71026
0.782,2.71255
0.783,2.71484
0.784,2.71712
0.785,2.7194
0.786,2.72168
0.787,2.72396
0.788,2.72623
0.789,2.72851
0.79,2.73078
0.791,2.73304
0.792,2.73531
0.793,2.73757
0.794,2.73983
0.795,2.74209
0.796,2.74435
0.797,2.74661
0.798,2.74886
0.799,2.75111
0.8,2.75336
0.801,2.7556
0.802,2.75784
0.803,2.76009
0.804,2.76232
0.805,2.76456
0.806,2.76679
0.807,2.76903
0.808,2.77126
0.809,2.77348
0.81,2.77571
0.811,2.77793
0.812,2.78015
0.813,2.78237
0.814,2.78459
0.815,2.7868
0.816,2.78902
0.817,2.79123
0.818,2.79343
0.819,2.79564
0.82,2.79784
0.821,2.80004
0.822,2.80224
0.823,2.80444
0.824,2.80663
0.825,2.80883
0.826,2.81102
0.827,2.8132
0.828,2.81539
0.829,2.81757
0.83,2.81975
0.831,2.82193
0.832,2.82411
0.833,2.82628
0.834,2.82846
0.835,2.83063
0.836,2.8328
0.837,2.83496
0.838,2.83713
0.839,2.83929
0.84,2.84145
0.841,2.8436
0.842,2.84576
0.843,2.84791
0.844,2.85006
0.845,2.85221
0.846,2.85436
0.847,2.8565
0.848,2.85865
0.849,2.86079
0.85,2.86293
0.851,2.86506
0.852,2.8672
0.853,2.86933
0.854,2.87146
0.855,2.87358
0.856,2.87571
0.857,2.87783
0.858,2.87995
0.859,2.88207
0.86,2.88419
0.861,2.8863
0.862,2.88842
0.863,2.89053
0.864,2.89264
0.865,2.89474
0.866,2.89685
0.867,2.89895
0.868,2.90105
0.869,2.90315
0.87,2.90524
0.871,2.90734
0.872,2.90943
0.873,2.91152
0.874,2.9136
0.875,2.91569
0.876,2.91777
0.877,2.91985
0.878,2.92193
0.879,2.92401
0.88,2.92609
0.881,2.92816
0.882,2.93023
0.883,2.9323
0.884,2.93436
0.885,2.93643
0.886,2.93849
0.887,2.94055
0.888,2.94261
0.889,2.94467
0.89,2.94672
0.891,2.94877
0.892,2.95082
0.893,2.95287
0.894,2.95492
0.895,2.95696
0.896,2.959
0.897,2.96104
0.898,2.96308
0.899,2.96512
0.9,2.96715
0.901,2.96918
0.902,2.97121
0.903,2.97324
0.904,2.97527
0.905,2.97729
0.906,2.97931
0.907,2.98133
0.908,2.98335
0.909,2.98537
0.91,2.98738
0.911,2.98939
0.912,2.9914
0.913,2.99341
0.914,2.99541
0.915,2.99742
0.916,2.99942
0.917,3.00142
0.918,3.00342
0.919,3.00541
0.92,3.0074
0.921,3.0094
0.922,3.01139
0.923,3.01337
0.924,3.01536
0.925,3.01734
0.926,3.01932
0.927,3.0213
0.928,3.02328
0.929,3.02526
0.93,3.02723
0.931,3.0292
0.932,3.03117
0.933,3.03314
0.934,3.03511
0.935,3.03707
0.936,3.03903
0.937,3.04099
0.938,3.04295
0.939,3.04491
0.94,3.04686
0.941,3.04881
0.942,3.05076
0.943,3.05271
0.944,3.05466
0.945,3.0566
0.946,3.05854
0.947,3.06049
0.948,3.06242
0.949,3.06436
0.95,3.06629
0.951,3.06823
0.952,3.07016
0.953,3.07209
0.954,3.07401
0.955,3.07594
0.956,3.07786
0.957,3.07978
0.958,3.0817
0.959,3.08362
0.96,3.08554
0.961,3.08745
0.962,3.08936
0.963,3.09127
0.964,3.09318
0.965,3.09508
0.966,3.09699
0.967,3.09889
0.968,3.10079
0.969,3.10269
0.97,3.10458
0.971,3.10648
0.972,3.10837
0.973,3.11026
0.974,3.11215
0.975,3.11404
0.976,3.11592
0.977,3.11781
0.978,3.11969
0.979,3.12157
0.98,3.12344
0.981,3.12532
0.982,3.12719
0.983,3.12907
0.984,3.13094
0.985,3.1328
0.986,3.13467
0.987,3.13653
0.988,3.1384
0.989,3.14026
0.99,3.14212
0.991,3.14397
0.992,3.14583
0.993,3.14768
0.994,3.14953
0.995,3.15138
0.996,3.15323
0.997,3.15508
0.998,3.15692
0.999,3.15876
1,3.1606
1.001,3.16244
1.002,3.16428
1.003,3.16611
1.004,3.16795
1.005,3.16978
1.006,3.17161
1.007,3.17343
1.008,3.17526
1.009,3.17708
1.01,3.17891
1.011,3.18073
1.012,3.18254
1.013,3.18436
1.014,3.18617
1.015,3.18799
1.016,3.1898
1.017,3.19161
1.018,3.19342
1.019,3.19522
1.02,3.19703
1.021,3.19883
1.022,3.20063
1.023,3.20243
1.024,3.20422
1.025,3.20602
1.026,3.20781
1.027,3.2096
1.028,3.21139
1.029,3.21318
1.03,3.21497
1.031,3.21675
1.032,3.21853
1.033,3.22031
1.034,3.22209
1.035,3.22387
1.036,3.22564
1.037,3.22742
1.038,3.22919
1.039,3.23096
1.04,3.23273
1.041,3.23449
1.042,3.23626
1.043,3.23802
1.044,3.23978
1.045,3.24154
1.046,3.2433
1.047,3.24505
1.048,3.24681
1.049,3.24856
1.05,3.25031
1.051,3.25206
1.052,3.25381
1.053,3.25555
1.054,3.2573
1.055,3.25904
1.056,3.26078
1.057,3.26252
1.058,3.26425
1.059,3.26599
1.06,3.26772
1.061,3.26945
1.062,3.27118
1.063,3.27291
1.064,3.27464
1.065,3.27636
1.066,3.27808
1.067,3.2798
1.068,3.28152
1.069,3.28324
1.07,3.28496
1.071,3.28667
1.072,3.28838
1.073,3.29009
1.074,3.2918
1.075,3.29351
1.076,3.29522
1.077,3.29692
1.078,3.29862
1.079,3.30032
1.08,3.30202
1.081,3.30372
1.082,3.30541
1.083,3.30711
1.084,3.3088
1.085,3.31049
1.086,3.31218
1.087,3.31387
1.088,3.31555
1.089,3.31724
1.09,3.31892
1.091,3.3206
1.092,3.32228
1.093,3.32395
1.094,3.32563
1.095,3.3273
1.096,3.32897
1.097,3.33064
1.098,3.33231
1.099,3.33398
1.1,3.33564
1.101,3.33731
1.102,3.33897
1.103,3.34063
1.104,3.34229
1.105,3.34395
1.106,3.3456
1.107,3.34725
1.108,3.34891
1.109,3.35056
1.11,3.35221
1.111,3.35385
1.112,3.3555
1.113,3.35714
1.114,3.35878
1.115,3.36042
1.116,3.36206
1.117,3.3637
1.118,3.36533
1.119,3.36697
1.12,3.3686
1.121,3.37023
1.122,3.37186
1.123,3.37349
1.124,3.37511
1.125,3.37674
1.126,3.37836
1.127,3.37998
1.128,3.3816
1.129,3.38322
1.13,3.38483
1.131,3.38645
1.132,3.38806
1.133,3.38967
1.134,3.39128
1.135,3.39289
1.136,3.3945
1.137,3.3961
1.138,3.3977
1.139,3.3993
1.14,3.4009
1.141,3.4025
1.142,3.4041
1.143,3.40569
1.144,3.40729
1.145,3.40888
1.146,3.41047
1.147,3.41206
1.148,3.41365
1.149,3.41523
1.15,3.41682
1.151,3.4184
1.152,3.41998
1.153,3.42156
1.154,3.42314
1.155,3.42471
1.156,3.42629
1.157,3.42786
1.158,3.42943
1.159,3.431
1.16,3.43257
1.161,3.43414
1.162,3.4357
1.163,3.43726
1.164,3.43883
1.165,3.44039
1.166,3.44195
1.167,3.4435
1.168,3.44506
1.169,3.44661
1.17,3.44817
1.171,3.44972
1.172,3.45127
1.173,3.45281
1.174,3.45436
1.175,3.45591
1.176,3.45745
1.177,3.45899
1.178,3.46053
1.179,3.46207
1.18,3.46361
1.181,3.46514
1.182,3.46668
1.183,3.46821
1.184,3.46974
1.185,3.47127
1.186,3.4728
1.187,3.47432
1.188,3.47585
1.189,3.47737
1.19,3.47889
1.191,3.48041
1.192,3.48193
1.193,3.48345
1.194,3.48497
1.195,3.48648
1.196,3.48799
1.197,3.4895
1.198,3.49101
1.199,3.49252
1.2,3.49403
1.201,3.49553
1.202,3.49704
1.203,3.49854
1.204,3.50004
1.205,3.50154
1.206,3.50304
1.207,3.50453
1.208,3.50603
1.209,3.50752
1.21,3.50901
1.211,3.5105
1.212,3.51199
1.213,3.51348
1.214,3.51497
1.215,3.51645
1.216,3.51793
1.217,3.51941
1.218,3.52089
1.219,3.52237
1.22,3.52385
1.221,3.52532
1.222,3.5268
1.223,3.52827
1.224,3.52974
1.225,3.53121
1.226,3.53268
1.227,3.53415
1.228,3.53561
1.229,3.53707
1.23,3.53854
1.231,3.54
1.232,3.54146
1.233,3.54291
1.234,3.54437
1.235,3.54583
1.236,3.54728
1.237,3.54873
1.238,3.55018
1.239,3.55163
1.24,3.55308
1.241,3.55453
1.242,3.55597
1.243,3.55741
1.244,3.55886
1.245,3.5603
1.246,3.56173
1.247,3.56317
1.248,3.56461
1.249,3.56604
1.25,3.56748
1.251,3.56891
1.252,3.57034
1.253,3.57177
1.254,3.57319
1.255,3.57462
1.256,3.57605
1.257,3.57747
1.258,3.57889
1.259,3.58031
1.26,3.58173
1.261,3.58315
1.262,3.58456
1.263,3.58598
1.264,3.58739
1.265,3.5888
1.266,3.59021
1.267,3.59162
1.268,3.59303
1.269,3.59444
1.27,3.59584
1.271,3.59725
1.272,3.59865
1.273,3.60005
1.274,3.60145
1.275,3.60285
1.276,3.60424
1.277,3.60564
1.278,3.60703
1.279,3.60842
1.28,3.60981
1.281,3.6112
1.282,3.61259
1.283,3.61398
1.284,3.61536
1.285,3.61675
1.286,3.61813
1.287,3.61951
1.288,3.62089
1.289,3.62227
1.29,3.62365
1.291,3.62502
1.292,3.6264
1.293,3.62777
1.294,3.62914
1.295,3.63051
1.296,3.63188
1.297,3.63325
1.298,3.63461
1.299,3.63598
1.3,3.63734
1.301,3.6387
1.302,3.64006
1.303,3.64142
1.304,3.64278
1.305,3.64414
1.306,3.64549
1.307,3.64685
1.308,3.6482
1.309,3.64955
1.31,3.6509
1.311,3.65225
1.312,3.6536
1.313,3.65494
1.314,3.65629
1.315,3.65763
1.316,3.65897
1.317,3.66031
1.318,3.66165
1.319,3.66299
1.32,3.66432
1.321,3.66566
1.322,3.66699
1.323,3.66832
1.324,3.66966
1.325,3.67099
1.326,3.67231
1.327,3.67364
1.328,3.67497
1.329,3.67629
1.33,3.67761
1.331,3.67894
1.332,3.68026
1.333,3.68157
1.334,3.68289
1.335,3.68421
1.336,3.68552
1.337,3.68684
1.338,3.68815
1.339,3.68946
1.34,3.69077
1.341,3.69208
1.342,3.69339
1.343,3.69469
1.344,3.696
1.345,3.6973
1.346,3.6986
1.347,3.6999
1.348,3.7012
1.349,3.7025
1.35,3.7038
1.351,3.70509
1.352,3.70639
1.353,3.70768
1.354,3.70897
1.355,3.71026
1.356,3.71155
1.357,3.71284
1.358,3.71413
1.359,3.71541
1.36,3.7167
1.361,3.71798
1.362,3.71926
1.363,3.72054
1.364,3.72182
1.365,3.7231
1.366,3.72437
1.367,3.72565
1.368,3.72692
1.369,3.72819
1.37,3.72947
1.371,3.73074
1.372,3.732
1.373,3.73327
1.374,3.73454
1.375,3.7358
1.376,3.73707
1.377,3.73833
1.378,3.73959
1.379,3.74085
1.38,3.74211
1.381,3.74336
1.382,3.74462
1.383,3.74588
1.384,3.74713
1.385,3.74838
1.386,3.74963
1.387,3.75088
1.388,3.75213
1.389,3.75338
1.39,3.75462
1.391,3.75587
1.392,3.75711
1.393,3.75835
1.394,3.7596
1.395,3.76083
1.396,3.76207
1.397,3.76331
1.398,3.76455
1.399,3.76578
1.4,3.76702
1.401,3.76825
1.402,3.76948
1.403,3.77071
1.404,3.77194
1.405,3.77316
1.406,3.77439
1.407,3.77562
1.408,3.77684
1.409,3.77806
1.41,3.77928
1.411,3.7805
1.412,3.78172
1.413,3.78294
1.414,3.78416
1.415,3.78537
1.416,3.78659
1.417,3.7878
1.418,3.78901
1.419,3.79022
1.42,3.79143
1.421,3.79264
1.422,3.79384
1.423,3.79505
1.424,3.79625
1.425,3.79746
1.426,3.79866
1.427,3.79986
1.428,3.80106
1.429,3.80226
1.43,3.80346
1.431,3.80465
1.432,3.80585
1.433,3.80704
1.434,3.80823
1.435,3.80942
1.436,3.81061
1.437,3.8118
1.438,3.81299
1.439,3.81418
1.44,3.81536
1.441,3.81655
1.442,3.81773
1.443,3.81891
1.444,3.82009
1.445,3.82127
1.446,3.82245
1.447,3.82362
1.448,3.8248
1.449,3.82598
1.45,3.82715
1.451,3.82832
1.452,3.82949
1.453,3.83066
1.454,3.83183
1.455,3.833
1.456,3.83416
1.457,3.83533
1.458,3.83649
1.459,3.83766
1.46,3.83882
1.461,3.83998
1.462,3.84114
1.463,3.8423
1.464,3.84345
1.465,3.84461
1.466,3.84576
1.467,3.84692
1.468,3.84807
1.469,3.84922
1.47,3.85037
1.471,3.85152
1.472,3.85267
1.473,3.85382
1.474,3.85496
1.475,3.85611
1.476,3.85725
1.477,3.85839
1.478,3.85953
1.479,3.86067
1.48,3.86181
1.481,3.86295
1.482,3.86409
1.483,3.86522
1.484,3.86636
1.485,3.86749
1.486,3.86862
1.487,3.86975
1.488,3.87088
1.489,3.87201
1.49,3.87314
1.491,3.87426
1.492,3.87539
1.493,3.87651
1.494,3.87764
1.495,3.87876
1.496,3.87988
1.497,3.881
1.498,3.88212
1.499,3.88323
1.5,3.88435
1.501,3.88546
1.502,3.88658
1.503,3.88769
1.504,3.8888
1.505,3.88991
1.506,3.89102
1.507,3.89213
1.508,3.89324
1.509,3.89435
1.51,3.89545
1.511,3.89655
1.512,3.89766
1.513,3.89876
1.514,3.89986
1.515,3.90096
1.516,3.90206
1.517,3.90315
1.518,3.90425
1.519,3.90535
1.52,3.90644
1.521,3.90753
1.522,3.90863
1.523,3.90972
1.524,3.91081
1.525,3.91189
1.526,3.91298
1.527,3.91407
1.528,3.91515
1.529,3.91624
1.53,3.91732
1.531,3.9184
1.532,3.91948
1.533,3.92056
1.534,3.92164
1.535,3.92272
1.536,3.9238
1.537,3.92487
1.538,3.92595
1.539,3.92702
1.54,3.92809
1.541,3.92917
1.542,3.93024
1.543,3.93131
1.544,3.93237
1.545,3.93344
